# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
3.1700000e+00    1.0844129e+00    1.0845371e+00
3.1800000e+00    1.0861310e+00    1.0862549e+00
3.1900000e+00    1.0878492e+00    1.0879726e+00
3.2000000e+00    1.0895423e+00    1.0896655e+00
3.2100000e+00    1.0912235e+00    1.0913463e+00
3.2200000e+00    1.0929048e+00    1.0930272e+00
3.2300000e+00    1.0945545e+00    1.0946766e+00
3.2400000e+00    1.0961986e+00    1.0963202e+00
3.2500000e+00    1.0978426e+00    1.0979638e+00
3.2600000e+00    1.0994867e+00    1.0996075e+00
3.2700000e+00    1.1011307e+00    1.1012511e+00
3.2800000e+00    1.1027748e+00    1.1028948e+00
3.2900000e+00    1.1044188e+00    1.1045384e+00
3.3000000e+00    1.1060629e+00    1.1061820e+00
3.3100000e+00    1.1077069e+00    1.1078257e+00
3.3200000e+00    1.1093290e+00    1.1094474e+00
3.3300000e+00    1.1109260e+00    1.1110439e+00
3.3400000e+00    1.1125229e+00    1.1126404e+00
3.3500000e+00    1.1141199e+00    1.1142369e+00
3.3600000e+00    1.1157168e+00    1.1158335e+00
3.3700000e+00    1.1173138e+00    1.1174300e+00
3.3800000e+00    1.1189107e+00    1.1190265e+00
3.3900000e+00    1.1205077e+00    1.1206231e+00
3.4000000e+00    1.1221046e+00    1.1222196e+00
3.4100000e+00    1.1237016e+00    1.1238161e+00
3.4200000e+00    1.1252985e+00    1.1254126e+00
3.4300000e+00    1.1268955e+00    1.1270092e+00
3.4400000e+00    1.1284924e+00    1.1286057e+00
3.4500000e+00    1.1300894e+00    1.1302022e+00
3.4600000e+00    1.1316863e+00    1.1317987e+00
3.4700000e+00    1.1332833e+00    1.1333953e+00
3.4800000e+00    1.1348802e+00    1.1349918e+00
3.4900000e+00    1.1364772e+00    1.1365883e+00
3.5000000e+00    1.1380741e+00    1.1381849e+00
3.5100000e+00    1.1396711e+00    1.1397814e+00
3.5200000e+00    1.1412681e+00    1.1413779e+00
3.5300000e+00    1.1428650e+00    1.1429744e+00
3.5400000e+00    1.1444620e+00    1.1445710e+00
3.5500000e+00    1.1460589e+00    1.1461675e+00
3.5600000e+00    1.1476559e+00    1.1477640e+00
3.5700000e+00    1.1492528e+00    1.1493605e+00
3.5800000e+00    1.1508498e+00    1.1509571e+00
3.5900000e+00    1.1524467e+00    1.1525536e+00
3.6000000e+00    1.1540437e+00    1.1541501e+00
3.6100000e+00    1.1556406e+00    1.1557466e+00
3.6200000e+00    1.1572376e+00    1.1573432e+00
3.6300000e+00    1.1588345e+00    1.1589397e+00
3.6400000e+00    1.1604315e+00    1.1605362e+00
3.6500000e+00    1.1620284e+00    1.1621328e+00
3.6600000e+00    1.1636254e+00    1.1637293e+00
3.6700000e+00    1.1652223e+00    1.1653258e+00
3.6800000e+00    1.1668193e+00    1.1669223e+00
3.6900000e+00    1.1684162e+00    1.1685189e+00
3.7000000e+00    1.1700132e+00    1.1701154e+00
3.7100000e+00    1.1715677e+00    1.1716694e+00
3.7200000e+00    1.1730720e+00    1.1731733e+00
3.7300000e+00    1.1745763e+00    1.1746771e+00
3.7400000e+00    1.1760806e+00    1.1761809e+00
3.7500000e+00    1.1775849e+00    1.1776847e+00
3.7600000e+00    1.1790892e+00    1.1791885e+00
3.7700000e+00    1.1805935e+00    1.1806923e+00
3.7800000e+00    1.1820978e+00    1.1821962e+00
3.7900000e+00    1.1836020e+00    1.1837000e+00
3.8000000e+00    1.1851063e+00    1.1852038e+00
3.8100000e+00    1.1866106e+00    1.1867076e+00
3.8200000e+00    1.1881149e+00    1.1882114e+00
3.8300000e+00    1.1896192e+00    1.1897152e+00
3.8400000e+00    1.1911235e+00    1.1912191e+00
3.8500000e+00    1.1926278e+00    1.1927229e+00
3.8600000e+00    1.1941321e+00    1.1942267e+00
3.8700000e+00    1.1956364e+00    1.1957305e+00
3.8800000e+00    1.1971407e+00    1.1972343e+00
3.8900000e+00    1.1986450e+00    1.1987381e+00
3.9000000e+00    1.2001493e+00    1.2002420e+00
3.9100000e+00    1.2016536e+00    1.2017458e+00
3.9200000e+00    1.2031579e+00    1.2032496e+00
3.9300000e+00    1.2046622e+00    1.2047534e+00
3.9400000e+00    1.2061665e+00    1.2062572e+00
3.9500000e+00    1.2076708e+00    1.2077611e+00
3.9600000e+00    1.2091751e+00    1.2092649e+00
3.9700000e+00    1.2106794e+00    1.2107687e+00
3.9800000e+00    1.2121837e+00    1.2122725e+00
3.9900000e+00    1.2136880e+00    1.2137763e+00
4.0000000e+00    1.2151923e+00    1.2152801e+00
4.0100000e+00    1.2166966e+00    1.2167840e+00
4.0200000e+00    1.2182009e+00    1.2182878e+00
4.0300000e+00    1.2197052e+00    1.2197916e+00
4.0400000e+00    1.2212095e+00    1.2212954e+00
4.0500000e+00    1.2227138e+00    1.2227992e+00
4.0600000e+00    1.2242180e+00    1.2243030e+00
4.0700000e+00    1.2257223e+00    1.2258069e+00
4.0800000e+00    1.2272266e+00    1.2273107e+00
4.0900000e+00    1.2287309e+00    1.2288145e+00
4.1000000e+00    1.2302352e+00    1.2303183e+00
4.1100000e+00    1.2317395e+00    1.2318221e+00
4.1200000e+00    1.2332438e+00    1.2333260e+00
4.1300000e+00    1.2347481e+00    1.2348298e+00
4.1400000e+00    1.2362524e+00    1.2363336e+00
4.1500000e+00    1.2377567e+00    1.2378374e+00
4.1600000e+00    1.2392610e+00    1.2393412e+00
4.1700000e+00    1.2407653e+00    1.2408450e+00
4.1800000e+00    1.2422696e+00    1.2423489e+00
4.1900000e+00    1.2437739e+00    1.2438527e+00
4.2000000e+00    1.2452782e+00    1.2453565e+00
4.2100000e+00    1.2467825e+00    1.2468603e+00
4.2200000e+00    1.2482868e+00    1.2483641e+00
4.2300000e+00    1.2497911e+00    1.2498679e+00
4.2400000e+00    1.2512954e+00    1.2513718e+00
4.2500000e+00    1.2527997e+00    1.2528756e+00
4.2600000e+00    1.2543040e+00    1.2543794e+00
4.2700000e+00    1.2558083e+00    1.2558832e+00
4.2800000e+00    1.2573126e+00    1.2573870e+00
4.2900000e+00    1.2588169e+00    1.2588908e+00
4.3000000e+00    1.2603212e+00    1.2603947e+00
4.3100000e+00    1.2618255e+00    1.2618985e+00
4.3200000e+00    1.2633297e+00    1.2634023e+00
4.3300000e+00    1.2648340e+00    1.2649061e+00
4.3400000e+00    1.2663383e+00    1.2664099e+00
4.3500000e+00    1.2678426e+00    1.2679138e+00
4.3600000e+00    1.2693469e+00    1.2694176e+00
4.3700000e+00    1.2708362e+00    1.2709063e+00
4.3800000e+00    1.2723099e+00    1.2723795e+00
4.3900000e+00    1.2737835e+00    1.2738526e+00
4.4000000e+00    1.2752572e+00    1.2753257e+00
4.4100000e+00    1.2767308e+00    1.2767988e+00
4.4200000e+00    1.2782044e+00    1.2782719e+00
4.4300000e+00    1.2796781e+00    1.2797450e+00
4.4400000e+00    1.2811517e+00    1.2812181e+00
4.4500000e+00    1.2826254e+00    1.2826912e+00
4.4600000e+00    1.2840979e+00    1.2841632e+00
4.4700000e+00    1.2855403e+00    1.2856049e+00
4.4800000e+00    1.2869826e+00    1.2870467e+00
4.4900000e+00    1.2884250e+00    1.2884885e+00
4.5000000e+00    1.2898674e+00    1.2899303e+00
4.5100000e+00    1.2913098e+00    1.2913721e+00
4.5200000e+00    1.2927482e+00    1.2928099e+00
4.5300000e+00    1.2941590e+00    1.2942200e+00
4.5400000e+00    1.2955697e+00    1.2956301e+00
4.5500000e+00    1.2969804e+00    1.2970401e+00
4.5600000e+00    1.2983887e+00    1.2984477e+00
4.5700000e+00    1.2997675e+00    1.2998258e+00
4.5800000e+00    1.3011463e+00    1.3012039e+00
4.5900000e+00    1.3025252e+00    1.3025820e+00
4.6000000e+00    1.3039040e+00    1.3039601e+00
4.6100000e+00    1.3052828e+00    1.3053382e+00
4.6200000e+00    1.3066617e+00    1.3067164e+00
4.6300000e+00    1.3080405e+00    1.3080945e+00
4.6400000e+00    1.3094193e+00    1.3094726e+00
4.6500000e+00    1.3107982e+00    1.3108507e+00
4.6600000e+00    1.3121770e+00    1.3122288e+00
4.6700000e+00    1.3135558e+00    1.3136069e+00
4.6800000e+00    1.3149346e+00    1.3149850e+00
4.6900000e+00    1.3163135e+00    1.3163631e+00
4.7000000e+00    1.3176923e+00    1.3177412e+00
4.7100000e+00    1.3190711e+00    1.3191193e+00
4.7200000e+00    1.3204500e+00    1.3204974e+00
4.7300000e+00    1.3218288e+00    1.3218755e+00
4.7400000e+00    1.3232076e+00    1.3232536e+00
4.7500000e+00    1.3245864e+00    1.3246317e+00
4.7600000e+00    1.3259653e+00    1.3260099e+00
4.7700000e+00    1.3273441e+00    1.3273880e+00
4.7800000e+00    1.3287229e+00    1.3287661e+00
4.7900000e+00    1.3301018e+00    1.3301442e+00
4.8000000e+00    1.3314806e+00    1.3315223e+00
4.8100000e+00    1.3328594e+00    1.3329004e+00
4.8200000e+00    1.3342383e+00    1.3342785e+00
4.8300000e+00    1.3356171e+00    1.3356566e+00
4.8400000e+00    1.3369959e+00    1.3370347e+00
4.8500000e+00    1.3383747e+00    1.3384128e+00
4.8600000e+00    1.3397536e+00    1.3397909e+00
4.8700000e+00    1.3411324e+00    1.3411690e+00
4.8800000e+00    1.3425112e+00    1.3425471e+00
4.8900000e+00    1.3438901e+00    1.3439252e+00
4.9000000e+00    1.3452689e+00    1.3453033e+00
4.9100000e+00    1.3466477e+00    1.3466815e+00
4.9200000e+00    1.3480265e+00    1.3480596e+00
4.9300000e+00    1.3494054e+00    1.3494377e+00
4.9400000e+00    1.3507842e+00    1.3508158e+00
4.9500000e+00    1.3521630e+00    1.3521939e+00
4.9600000e+00    1.3535419e+00    1.3535720e+00
4.9700000e+00    1.3549207e+00    1.3549501e+00
4.9800000e+00    1.3562995e+00    1.3563282e+00
4.9900000e+00    1.3576784e+00    1.3577063e+00
5.0000000e+00    1.3590572e+00    1.3590844e+00
5.0100000e+00    1.3604360e+00    1.3604625e+00
5.0200000e+00    1.3618148e+00    1.3618406e+00
5.0300000e+00    1.3631937e+00    1.3632187e+00
5.0400000e+00    1.3645725e+00    1.3645968e+00
5.0500000e+00    1.3659513e+00    1.3659749e+00
5.0600000e+00    1.3673302e+00    1.3673531e+00
5.0700000e+00    1.3687090e+00    1.3687312e+00
5.0800000e+00    1.3700878e+00    1.3701093e+00
5.0900000e+00    1.3714667e+00    1.3714874e+00
5.1000000e+00    1.3728455e+00    1.3728655e+00
5.1100000e+00    1.3742243e+00    1.3742436e+00
