# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
3.2000000e+00    4.9910457e+03    4.9606282e+03
3.2100000e+00    4.9833166e+03    4.9528682e+03
3.2200000e+00    4.9755875e+03    4.9451082e+03
3.2300000e+00    4.9681452e+03    4.9376367e+03
3.2400000e+00    4.9607550e+03    4.9302176e+03
3.2500000e+00    4.9533649e+03    4.9227986e+03
3.2600000e+00    4.9459747e+03    4.9153796e+03
3.2700000e+00    4.9385846e+03    4.9079605e+03
3.2800000e+00    4.9311944e+03    4.9005415e+03
3.2900000e+00    4.9238043e+03    4.8931225e+03
3.3000000e+00    4.9164141e+03    4.8857035e+03
3.3100000e+00    4.9090240e+03    4.8782844e+03
3.3200000e+00    4.9020271e+03    4.8712592e+03
3.3300000e+00    4.8954809e+03    4.8646852e+03
3.3400000e+00    4.8889346e+03    4.8581112e+03
3.3500000e+00    4.8823884e+03    4.8515371e+03
3.3600000e+00    4.8758421e+03    4.8449631e+03
3.3700000e+00    4.8692959e+03    4.8383891e+03
3.3800000e+00    4.8627497e+03    4.8318151e+03
3.3900000e+00    4.8562034e+03    4.8252411e+03
3.4000000e+00    4.8496572e+03    4.8186671e+03
3.4100000e+00    4.8431110e+03    4.8120931e+03
3.4200000e+00    4.8365647e+03    4.8055191e+03
3.4300000e+00    4.8300185e+03    4.7989451e+03
3.4400000e+00    4.8234723e+03    4.7923711e+03
3.4500000e+00    4.8169260e+03    4.7857971e+03
3.4600000e+00    4.8103798e+03    4.7792231e+03
3.4700000e+00    4.8038336e+03    4.7726491e+03
3.4800000e+00    4.7972873e+03    4.7660751e+03
3.4900000e+00    4.7907411e+03    4.7595011e+03
3.5000000e+00    4.7841948e+03    4.7529270e+03
3.5100000e+00    4.7776486e+03    4.7463530e+03
3.5200000e+00    4.7711024e+03    4.7397790e+03
3.5300000e+00    4.7645561e+03    4.7332050e+03
3.5400000e+00    4.7580099e+03    4.7266310e+03
3.5500000e+00    4.7514637e+03    4.7200570e+03
3.5600000e+00    4.7449174e+03    4.7134830e+03
3.5700000e+00    4.7383712e+03    4.7069090e+03
3.5800000e+00    4.7318250e+03    4.7003350e+03
3.5900000e+00    4.7252787e+03    4.6937610e+03
3.6000000e+00    4.7187325e+03    4.6871870e+03
3.6100000e+00    4.7121862e+03    4.6806130e+03
3.6200000e+00    4.7056400e+03    4.6740390e+03
3.6300000e+00    4.6990938e+03    4.6674650e+03
3.6400000e+00    4.6925475e+03    4.6608910e+03
3.6500000e+00    4.6860013e+03    4.6543169e+03
3.6600000e+00    4.6794551e+03    4.6477429e+03
3.6700000e+00    4.6729088e+03    4.6411689e+03
3.6800000e+00    4.6663626e+03    4.6345949e+03
3.6900000e+00    4.6598164e+03    4.6280209e+03
3.7000000e+00    4.6532701e+03    4.6214469e+03
3.7100000e+00    4.6473546e+03    4.6155044e+03
3.7200000e+00    4.6421851e+03    4.6103087e+03
3.7300000e+00    4.6370155e+03    4.6051130e+03
3.7400000e+00    4.6318459e+03    4.5999173e+03
3.7500000e+00    4.6266763e+03    4.5947216e+03
3.7600000e+00    4.6215067e+03    4.5895258e+03
3.7700000e+00    4.6163371e+03    4.5843301e+03
3.7800000e+00    4.6111676e+03    4.5791344e+03
3.7900000e+00    4.6059980e+03    4.5739387e+03
3.8000000e+00    4.6008284e+03    4.5687430e+03
3.8100000e+00    4.5956588e+03    4.5635473e+03
3.8200000e+00    4.5904892e+03    4.5583516e+03
3.8300000e+00    4.5853196e+03    4.5531558e+03
3.8400000e+00    4.5801500e+03    4.5479601e+03
3.8500000e+00    4.5749805e+03    4.5427644e+03
3.8600000e+00    4.5698109e+03    4.5375687e+03
3.8700000e+00    4.5646413e+03    4.5323730e+03
3.8800000e+00    4.5594717e+03    4.5271773e+03
3.8900000e+00    4.5543021e+03    4.5219816e+03
3.9000000e+00    4.5491325e+03    4.5167858e+03
3.9100000e+00    4.5439630e+03    4.5115901e+03
3.9200000e+00    4.5387934e+03    4.5063944e+03
3.9300000e+00    4.5336238e+03    4.5011987e+03
3.9400000e+00    4.5284542e+03    4.4960030e+03
3.9500000e+00    4.5232846e+03    4.4908073e+03
3.9600000e+00    4.5181150e+03    4.4856116e+03
3.9700000e+00    4.5129455e+03    4.4804158e+03
3.9800000e+00    4.5077759e+03    4.4752201e+03
3.9900000e+00    4.5026063e+03    4.4700244e+03
4.0000000e+00    4.4974367e+03    4.4648287e+03
4.0100000e+00    4.4922671e+03    4.4596330e+03
4.0200000e+00    4.4870975e+03    4.4544373e+03
4.0300000e+00    4.4819280e+03    4.4492416e+03
4.0400000e+00    4.4767584e+03    4.4440458e+03
4.0500000e+00    4.4715888e+03    4.4388501e+03
4.0600000e+00    4.4664192e+03    4.4336544e+03
4.0700000e+00    4.4612496e+03    4.4284587e+03
4.0800000e+00    4.4560800e+03    4.4232630e+03
4.0900000e+00    4.4509104e+03    4.4180673e+03
4.1000000e+00    4.4457409e+03    4.4128716e+03
4.1100000e+00    4.4405713e+03    4.4076758e+03
