# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.8480000e+05    9.9031864e+06    1.5356716e+07
1.8560000e+05    9.8913224e+06    1.5326962e+07
1.8640000e+05    9.8794584e+06    1.5297207e+07
1.8720000e+05    9.8675944e+06    1.5267453e+07
1.8800000e+05    9.8557304e+06    1.5237698e+07
1.8880000e+05    9.8438663e+06    1.5207944e+07
1.8960000e+05    9.8320023e+06    1.5178190e+07
1.9040000e+05    9.8201383e+06    1.5148435e+07
1.9120000e+05    9.8082743e+06    1.5118681e+07
1.9200000e+05    9.7964103e+06    1.5088926e+07
1.9280000e+05    9.7845462e+06    1.5059172e+07
1.9360000e+05    9.7726822e+06    1.5029418e+07
1.9440000e+05    9.7608182e+06    1.4999663e+07
1.9520000e+05    9.7489546e+06    1.4969909e+07
1.9600000e+05    9.7370913e+06    1.4940156e+07
1.9680000e+05    9.7252279e+06    1.4910402e+07
1.9760000e+05    9.7133646e+06    1.4880648e+07
1.9840000e+05    9.7015013e+06    1.4850895e+07
1.9920000e+05    9.6896380e+06    1.4821141e+07
2.0000000e+05    9.6777747e+06    1.4791387e+07
2.0080000e+05    9.6659114e+06    1.4761634e+07
2.0160000e+05    9.6540480e+06    1.4731880e+07
2.0240000e+05    9.6421891e+06    1.4702132e+07
2.0320000e+05    9.6303552e+06    1.4672414e+07
2.0400000e+05    9.6185213e+06    1.4642697e+07
2.0480000e+05    9.6066873e+06    1.4612980e+07
2.0560000e+05    9.5959286e+06    1.4584826e+07
2.0640000e+05    9.5856271e+06    1.4557338e+07
2.0720000e+05    9.5753256e+06    1.4529850e+07
2.0800000e+05    9.5650242e+06    1.4502361e+07
2.0880000e+05    9.5547227e+06    1.4474873e+07
2.0960000e+05    9.5444212e+06    1.4447385e+07
2.1040000e+05    9.5341198e+06    1.4419897e+07
2.1120000e+05    9.5238183e+06    1.4392409e+07
2.1200000e+05    9.5135168e+06    1.4364920e+07
2.1280000e+05    9.5032154e+06    1.4337432e+07
2.1360000e+05    9.4929387e+06    1.4309975e+07
2.1440000e+05    9.4826702e+06    1.4282528e+07
2.1520000e+05    9.4724018e+06    1.4255081e+07
2.1600000e+05    9.4621340e+06    1.4227635e+07
2.1680000e+05    9.4518662e+06    1.4200189e+07
2.1760000e+05    9.4415984e+06    1.4172743e+07
2.1840000e+05    9.4313306e+06    1.4145296e+07
2.1920000e+05    9.4210628e+06    1.4117850e+07
2.2000000e+05    9.4107950e+06    1.4090404e+07
2.2080000e+05    9.4005272e+06    1.4062958e+07
2.2160000e+05    9.3902594e+06    1.4035512e+07
2.2240000e+05    9.3805112e+06    1.4008861e+07
2.2320000e+05    9.3717646e+06    1.3983757e+07
2.2400000e+05    9.3630387e+06    1.3958724e+07
2.2480000e+05    9.3543129e+06    1.3933691e+07
2.2560000e+05    9.3456081e+06    1.3910458e+07
2.2640000e+05    9.3369567e+06    1.3891785e+07
2.2720000e+05    9.3283054e+06    1.3873113e+07
2.2800000e+05    9.3196540e+06    1.3854440e+07
2.2880000e+05    9.3110417e+06    1.3835847e+07
2.2960000e+05    9.3024370e+06    1.3817269e+07
2.3040000e+05    9.2938323e+06    1.3798691e+07
2.3120000e+05    9.2852276e+06    1.3780113e+07
2.3200000e+05    9.2766228e+06    1.3761535e+07
2.3280000e+05    9.2680181e+06    1.3742957e+07
2.3360000e+05    9.2594134e+06    1.3724379e+07
2.3440000e+05    9.2508087e+06    1.3705801e+07
2.3520000e+05    9.2422203e+06    1.3687244e+07
2.3600000e+05    9.2338131e+06    1.3668923e+07
2.3680000e+05    9.2254058e+06    1.3650602e+07
2.3760000e+05    9.2169985e+06    1.3632281e+07
2.3840000e+05    9.2085913e+06    1.3613960e+07
2.3920000e+05    9.2001840e+06    1.3595639e+07
2.4000000e+05    9.1917767e+06    1.3577318e+07
2.4080000e+05    9.1833819e+06    1.3559021e+07
2.4160000e+05    9.1749890e+06    1.3540728e+07
2.4240000e+05    9.1665961e+06    1.3522435e+07
2.4320000e+05    9.1582032e+06    1.3504142e+07
2.4400000e+05    9.1498103e+06    1.3485848e+07
2.4480000e+05    9.1414174e+06    1.3467555e+07
2.4560000e+05    9.1330245e+06    1.3449262e+07
2.4640000e+05    9.1246316e+06    1.3430969e+07
2.4720000e+05    9.1162387e+06    1.3412675e+07
2.4800000e+05    9.1078458e+06    1.3394382e+07
2.4880000e+05    9.0994529e+06    1.3376089e+07
2.4960000e+05    9.0910600e+06    1.3357796e+07
2.5040000e+05    9.0826677e+06    1.3339503e+07
2.5120000e+05    9.0742756e+06    1.3321211e+07
2.5200000e+05    9.0658834e+06    1.3302918e+07
2.5280000e+05    9.0574924e+06    1.3284628e+07
2.5360000e+05    9.0491105e+06    1.3266355e+07
2.5440000e+05    9.0407285e+06    1.3248082e+07
2.5520000e+05    9.0323466e+06    1.3229809e+07
2.5600000e+05    9.0239647e+06    1.3211536e+07
2.5680000e+05    9.0155828e+06    1.3193263e+07
2.5760000e+05    9.0072009e+06    1.3174991e+07
2.5840000e+05    8.9988190e+06    1.3156718e+07
2.5920000e+05    8.9904371e+06    1.3138445e+07
2.6000000e+05    8.9820613e+06    1.3120183e+07
2.6080000e+05    8.9736860e+06    1.3101923e+07
2.6160000e+05    8.9653199e+06    1.3083674e+07
2.6240000e+05    8.9569578e+06    1.3065429e+07
2.6320000e+05    8.9485956e+06    1.3047184e+07
2.6400000e+05    8.9402334e+06    1.3028940e+07
2.6480000e+05    8.9318713e+06    1.3010695e+07
2.6560000e+05    8.9237037e+06    1.2992717e+07
2.6640000e+05    8.9160299e+06    1.2975414e+07
2.6720000e+05    8.9083592e+06    1.2958117e+07
2.6800000e+05    8.9006885e+06    1.2940821e+07
2.6880000e+05    8.8930178e+06    1.2923524e+07
2.6960000e+05    8.8853471e+06    1.2906227e+07
2.7040000e+05    8.8776764e+06    1.2888930e+07
2.7120000e+05    8.8700057e+06    1.2871633e+07
2.7200000e+05    8.8623350e+06    1.2854337e+07
2.7280000e+05    8.8546642e+06    1.2837040e+07
2.7360000e+05    8.8469992e+06    1.2819754e+07
2.7440000e+05    8.8393348e+06    1.2802468e+07
2.7520000e+05    8.8316754e+06    1.2785189e+07
2.7600000e+05    8.8240296e+06    1.2767927e+07
2.7680000e+05    8.8163837e+06    1.2750664e+07
2.7760000e+05    8.8087379e+06    1.2733402e+07
2.7840000e+05    8.8010920e+06    1.2716139e+07
2.7920000e+05    8.7934462e+06    1.2698877e+07
2.8000000e+05    8.7858014e+06    1.2681616e+07
2.8080000e+05    8.7781704e+06    1.2664381e+07
2.8160000e+05    8.7705394e+06    1.2647146e+07
2.8240000e+05    8.7629084e+06    1.2629910e+07
2.8320000e+05    8.7552775e+06    1.2612675e+07
2.8400000e+05    8.7476465e+06    1.2595439e+07
2.8480000e+05    8.7400155e+06    1.2578204e+07
2.8560000e+05    8.7323845e+06    1.2560968e+07
2.8640000e+05    8.7247535e+06    1.2543733e+07
2.8720000e+05    8.7171226e+06    1.2526498e+07
2.8800000e+05    8.7097159e+06    1.2509582e+07
2.8880000e+05    8.7027822e+06    1.2493360e+07
2.8960000e+05    8.6958507e+06    1.2477143e+07
2.9040000e+05    8.6889255e+06    1.2460934e+07
2.9120000e+05    8.6820004e+06    1.2444724e+07
2.9200000e+05    8.6750792e+06    1.2428550e+07
2.9280000e+05    8.6684914e+06    1.2415406e+07
2.9360000e+05    8.6619035e+06    1.2402262e+07
2.9440000e+05    8.6553156e+06    1.2389118e+07
2.9520000e+05    8.6487277e+06    1.2375974e+07
2.9600000e+05    8.6421399e+06    1.2362830e+07
2.9680000e+05    8.6355520e+06    1.2349686e+07
2.9760000e+05    8.6289657e+06    1.2336544e+07
2.9840000e+05    8.6223795e+06    1.2323402e+07
2.9920000e+05    8.6157934e+06    1.2310260e+07
3.0000000e+05    8.6092072e+06    1.2297118e+07
3.0080000e+05    8.6026211e+06    1.2283976e+07
3.0160000e+05    8.5960349e+06    1.2270835e+07
3.0240000e+05    8.5894488e+06    1.2257693e+07
3.0320000e+05    8.5828627e+06    1.2244551e+07
3.0400000e+05    8.5762884e+06    1.2231430e+07
3.0480000e+05    8.5697960e+06    1.2218413e+07
3.0560000e+05    8.5633076e+06    1.2205402e+07
3.0640000e+05    8.5568195e+06    1.2192391e+07
3.0720000e+05    8.5503315e+06    1.2179380e+07
3.0800000e+05    8.5438434e+06    1.2166369e+07
3.0880000e+05    8.5373554e+06    1.2153358e+07
3.0960000e+05    8.5308673e+06    1.2140347e+07
3.1040000e+05    8.5243966e+06    1.2127367e+07
3.1120000e+05    8.5179301e+06    1.2114394e+07
3.1200000e+05    8.5114636e+06    1.2101422e+07
3.1280000e+05    8.5049976e+06    1.2088450e+07
3.1360000e+05    8.4985345e+06    1.2075481e+07
3.1440000e+05    8.4920715e+06    1.2062513e+07
3.1520000e+05    8.4856086e+06    1.2049544e+07
3.1600000e+05    8.4791456e+06    1.2036576e+07
3.1680000e+05    8.4726827e+06    1.2023608e+07
3.1760000e+05    8.4662197e+06    1.2010639e+07
3.1840000e+05    8.4597568e+06    1.1997671e+07
3.1920000e+05    8.4532938e+06    1.1984702e+07
3.2000000e+05    8.4468334e+06    1.1971741e+07
3.2080000e+05    8.4403982e+06    1.1958812e+07
3.2160000e+05    8.4339702e+06    1.1945891e+07
3.2240000e+05    8.4275428e+06    1.1932971e+07
3.2320000e+05    8.4211154e+06    1.1920052e+07
3.2400000e+05    8.4146880e+06    1.1907132e+07
3.2480000e+05    8.4082605e+06    1.1894212e+07
3.2560000e+05    8.4018331e+06    1.1881293e+07
3.2640000e+05    8.3954057e+06    1.1868373e+07
3.2720000e+05    8.3889783e+06    1.1855453e+07
3.2800000e+05    8.3825514e+06    1.1842535e+07
3.2880000e+05    8.3761263e+06    1.1829621e+07
3.2960000e+05    8.3697015e+06    1.1816708e+07
3.3040000e+05    8.3632781e+06    1.1803796e+07
3.3120000e+05    8.3568548e+06    1.1790885e+07
3.3200000e+05    8.3504314e+06    1.1777973e+07
3.3280000e+05    8.3440080e+06    1.1765061e+07
3.3360000e+05    8.3375846e+06    1.1752149e+07
3.3440000e+05    8.3311613e+06    1.1739238e+07
3.3520000e+05    8.3247379e+06    1.1726326e+07
3.3600000e+05    8.3183145e+06    1.1713414e+07
3.3680000e+05    8.3118924e+06    1.1700506e+07
3.3760000e+05    8.3054829e+06    1.1687614e+07
3.3840000e+05    8.2990820e+06    1.1674733e+07
3.3920000e+05    8.2926835e+06    1.1661855e+07
3.4000000e+05    8.2862849e+06    1.1648977e+07
3.4080000e+05    8.2798863e+06    1.1636098e+07
3.4160000e+05    8.2734878e+06    1.1623220e+07
3.4240000e+05    8.2670892e+06    1.1610342e+07
3.4320000e+05    8.2607040e+06    1.1597487e+07
3.4400000e+05    8.2545374e+06    1.1584925e+07
3.4480000e+05    8.2484714e+06    1.1572497e+07
3.4560000e+05    8.2424066e+06    1.1560072e+07
3.4640000e+05    8.2363496e+06    1.1547658e+07
3.4720000e+05    8.2302975e+06    1.1535250e+07
3.4800000e+05    8.2242454e+06    1.1522842e+07
3.4880000e+05    8.2181933e+06    1.1510435e+07
3.4960000e+05    8.2121412e+06    1.1498027e+07
3.5040000e+05    8.2060891e+06    1.1485619e+07
3.5120000e+05    8.2000370e+06    1.1473211e+07
3.5200000e+05    8.1939848e+06    1.1460803e+07
3.5280000e+05    8.1879328e+06    1.1448395e+07
3.5360000e+05    8.1818813e+06    1.1435987e+07
3.5440000e+05    8.1758311e+06    1.1423583e+07
3.5520000e+05    8.1697885e+06    1.1411193e+07
3.5600000e+05    8.1637588e+06    1.1398819e+07
3.5680000e+05    8.1577292e+06    1.1386444e+07
3.5760000e+05    8.1516995e+06    1.1374070e+07
3.5840000e+05    8.1456699e+06    1.1361695e+07
3.5920000e+05    8.1396402e+06    1.1349321e+07
3.6000000e+05    8.1336105e+06    1.1336946e+07
3.6080000e+05    8.1275809e+06    1.1324572e+07
3.6160000e+05    8.1215512e+06    1.1312197e+07
3.6240000e+05    8.1155889e+06    1.1299911e+07
3.6320000e+05    8.1096505e+06    1.1287655e+07
3.6400000e+05    8.1037120e+06    1.1275400e+07
3.6480000e+05    8.0977802e+06    1.1263152e+07
3.6560000e+05    8.0918527e+06    1.1250910e+07
3.6640000e+05    8.0859251e+06    1.1238668e+07
3.6720000e+05    8.0799976e+06    1.1226426e+07
3.6800000e+05    8.0740701e+06    1.1214184e+07
3.6880000e+05    8.0681426e+06    1.1201941e+07
3.6960000e+05    8.0622151e+06    1.1189699e+07
3.7040000e+05    8.0562876e+06    1.1177457e+07
3.7120000e+05    8.0503601e+06    1.1165215e+07
3.7200000e+05    8.0444326e+06    1.1152973e+07
3.7280000e+05    8.0385321e+06    1.1140768e+07
3.7360000e+05    8.0329140e+06    1.1128952e+07
3.7440000e+05    8.0273133e+06    1.1117157e+07
3.7520000e+05    8.0217267e+06    1.1105380e+07
3.7600000e+05    8.0161402e+06    1.1093602e+07
3.7680000e+05    8.0105536e+06    1.1081825e+07
3.7760000e+05    8.0049671e+06    1.1070047e+07
3.7840000e+05    7.9994095e+06    1.1058449e+07
3.7920000e+05    7.9940540e+06    1.1048100e+07
3.8000000e+05    7.9886986e+06    1.1037751e+07
3.8080000e+05    7.9833431e+06    1.1027402e+07
3.8160000e+05    7.9780248e+06    1.1017101e+07
3.8240000e+05    7.9727336e+06    1.1006836e+07
3.8320000e+05    7.9674423e+06    1.0996570e+07
3.8400000e+05    7.9621511e+06    1.0986304e+07
3.8480000e+05    7.9568599e+06    1.0976039e+07
3.8560000e+05    7.9515687e+06    1.0965773e+07
3.8640000e+05    7.9462775e+06    1.0955507e+07
3.8720000e+05    7.9409863e+06    1.0945242e+07
3.8800000e+05    7.9356951e+06    1.0934976e+07
3.8880000e+05    7.9304039e+06    1.0924711e+07
3.8960000e+05    7.9251127e+06    1.0914445e+07
3.9040000e+05    7.9198215e+06    1.0904179e+07
3.9120000e+05    7.9145310e+06    1.0893915e+07
3.9200000e+05    7.9092808e+06    1.0883702e+07
3.9280000e+05    7.9040455e+06    1.0873514e+07
3.9360000e+05    7.8988982e+06    1.0863447e+07
3.9440000e+05    7.8937530e+06    1.0853383e+07
3.9520000e+05    7.8886079e+06    1.0843318e+07
3.9600000e+05    7.8834627e+06    1.0833254e+07
3.9680000e+05    7.8783176e+06    1.0823190e+07
3.9760000e+05    7.8731724e+06    1.0813125e+07
3.9840000e+05    7.8680272e+06    1.0803061e+07
3.9920000e+05    7.8629464e+06    1.0793325e+07
4.0000000e+05    7.8579089e+06    1.0783731e+07
4.0080000e+05    7.8528714e+06    1.0774136e+07
4.0160000e+05    7.8478388e+06    1.0764549e+07
4.0240000e+05    7.8428409e+06    1.0755005e+07
4.0320000e+05    7.8378430e+06    1.0745462e+07
4.0400000e+05    7.8328451e+06    1.0735919e+07
4.0480000e+05    7.8278472e+06    1.0726376e+07
4.0560000e+05    7.8228493e+06    1.0716833e+07
4.0640000e+05    7.8178514e+06    1.0707289e+07
4.0720000e+05    7.8128535e+06    1.0697746e+07
4.0800000e+05    7.8078556e+06    1.0688203e+07
4.0880000e+05    7.8028577e+06    1.0678660e+07
