# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.2200000e+03    1.3546709e+07    5.5839711e+07
2.2300000e+03    1.3562883e+07    5.5785936e+07
2.2400000e+03    1.3578883e+07    5.5733469e+07
2.2500000e+03    1.3594795e+07    5.5681671e+07
2.2600000e+03    1.3610707e+07    5.5629874e+07
2.2700000e+03    1.3626619e+07    5.5578076e+07
2.2800000e+03    1.3642531e+07    5.5526278e+07
2.2900000e+03    1.3658443e+07    5.5474481e+07
2.3000000e+03    1.3674355e+07    5.5422683e+07
2.3100000e+03    1.3690268e+07    5.5370886e+07
2.3200000e+03    1.3706180e+07    5.5319088e+07
2.3300000e+03    1.3722092e+07    5.5267291e+07
2.3400000e+03    1.3738004e+07    5.5215493e+07
2.3500000e+03    1.3753916e+07    5.5163696e+07
2.3600000e+03    1.3769828e+07    5.5111898e+07
2.3700000e+03    1.3785740e+07    5.5060101e+07
2.3800000e+03    1.3801652e+07    5.5008303e+07
2.3900000e+03    1.3817564e+07    5.4956506e+07
2.4000000e+03    1.3833476e+07    5.4904708e+07
2.4100000e+03    1.3849388e+07    5.4852910e+07
2.4200000e+03    1.3862446e+07    5.4806926e+07
2.4300000e+03    1.3874480e+07    5.4763028e+07
2.4400000e+03    1.3886499e+07    5.4719171e+07
2.4500000e+03    1.3898483e+07    5.4675416e+07
2.4600000e+03    1.3910467e+07    5.4631661e+07
2.4700000e+03    1.3921249e+07    5.4592903e+07
2.4800000e+03    1.3931761e+07    5.4555272e+07
2.4900000e+03    1.3942272e+07    5.4517641e+07
2.5000000e+03    1.3952784e+07    5.4480009e+07
2.5100000e+03    1.3963295e+07    5.4442378e+07
2.5200000e+03    1.3973806e+07    5.4404747e+07
2.5300000e+03    1.3984318e+07    5.4367116e+07
2.5400000e+03    1.3994829e+07    5.4329484e+07
2.5500000e+03    1.4005341e+07    5.4291853e+07
2.5600000e+03    1.4015852e+07    5.4254222e+07
2.5700000e+03    1.4026363e+07    5.4216591e+07
2.5800000e+03    1.4034856e+07    5.4182318e+07
2.5900000e+03    1.4041450e+07    5.4151203e+07
2.6000000e+03    1.4048045e+07    5.4120087e+07
