# Frequency [GHz]	Re(Z) [Ohm/m]	Im(Z) [Ohm/m]	|Z| [Ohm/m]
8.595208e-01	-1.490147e-01	-2.085662e-01	2.563303e-01
8.645180e-01	-1.510122e-01	-2.055620e-01	2.550695e-01
8.695152e-01	-1.529569e-01	-2.025376e-01	2.538056e-01
8.745125e-01	-1.548484e-01	-1.994939e-01	2.525388e-01
8.795097e-01	-1.566866e-01	-1.964319e-01	2.512691e-01
8.845069e-01	-1.584714e-01	-1.933523e-01	2.499966e-01
8.895041e-01	-1.602026e-01	-1.902562e-01	2.487213e-01
8.945013e-01	-1.618801e-01	-1.871445e-01	2.474434e-01
8.994985e-01	-1.635037e-01	-1.840181e-01	2.461628e-01
9.044957e-01	-1.650733e-01	-1.808780e-01	2.448797e-01
9.094930e-01	-1.665889e-01	-1.777250e-01	2.435940e-01
9.144902e-01	-1.680504e-01	-1.745601e-01	2.423060e-01
9.194874e-01	-1.694578e-01	-1.713842e-01	2.410155e-01
9.244846e-01	-1.708109e-01	-1.681983e-01	2.397228e-01
9.294818e-01	-1.721098e-01	-1.650033e-01	2.384279e-01
9.344790e-01	-1.733544e-01	-1.618000e-01	2.371308e-01
9.394762e-01	-1.745448e-01	-1.585895e-01	2.358316e-01
9.444735e-01	-1.756811e-01	-1.553726e-01	2.345303e-01
9.494707e-01	-1.767631e-01	-1.521502e-01	2.332271e-01
9.544679e-01	-1.777911e-01	-1.489233e-01	2.319220e-01
9.594651e-01	-1.787650e-01	-1.456928e-01	2.306151e-01
9.644623e-01	-1.796851e-01	-1.424595e-01	2.293064e-01
9.694595e-01	-1.805512e-01	-1.392244e-01	2.279960e-01
9.744567e-01	-1.813637e-01	-1.359885e-01	2.266840e-01
9.794540e-01	-1.821226e-01	-1.327524e-01	2.253705e-01
9.844512e-01	-1.828280e-01	-1.295173e-01	2.240554e-01
9.894484e-01	-1.834802e-01	-1.262839e-01	2.227389e-01
9.944456e-01	-1.840793e-01	-1.230532e-01	2.214210e-01
9.994428e-01	-1.846255e-01	-1.198259e-01	2.201019e-01
1.004440e+00	-1.851191e-01	-1.166031e-01	2.187815e-01
1.009437e+00	-1.855602e-01	-1.133855e-01	2.174600e-01
1.014434e+00	-1.859490e-01	-1.101741e-01	2.161374e-01
1.019432e+00	-1.862860e-01	-1.069696e-01	2.148138e-01
1.024429e+00	-1.865712e-01	-1.037729e-01	2.134892e-01
1.029426e+00	-1.868050e-01	-1.005849e-01	2.121637e-01
1.034423e+00	-1.869877e-01	-9.740638e-02	2.108374e-01
1.039421e+00	-1.871196e-01	-9.423820e-02	2.095103e-01
1.044418e+00	-1.872010e-01	-9.108117e-02	2.081826e-01
1.049415e+00	-1.872323e-01	-8.793609e-02	2.068542e-01
1.054412e+00	-1.872137e-01	-8.480379e-02	2.055253e-01
1.059409e+00	-1.871458e-01	-8.168505e-02	2.041960e-01
1.064407e+00	-1.870288e-01	-7.858067e-02	2.028662e-01
1.069404e+00	-1.868631e-01	-7.549142e-02	2.015360e-01
1.074401e+00	-1.866492e-01	-7.241808e-02	2.002056e-01
1.079398e+00	-1.863874e-01	-6.936142e-02	1.988750e-01
1.084395e+00	-1.860782e-01	-6.632218e-02	1.975443e-01
1.089393e+00	-1.857221e-01	-6.330112e-02	1.962134e-01
1.094390e+00	-1.853194e-01	-6.029897e-02	1.948826e-01
1.099387e+00	-1.848706e-01	-5.731645e-02	1.935519e-01
1.104384e+00	-1.843763e-01	-5.435429e-02	1.922212e-01
1.109382e+00	-1.838369e-01	-5.141319e-02	1.908908e-01
1.114379e+00	-1.832528e-01	-4.849385e-02	1.895607e-01
1.119376e+00	-1.826247e-01	-4.559695e-02	1.882309e-01
1.124373e+00	-1.819530e-01	-4.272318e-02	1.869015e-01
1.129370e+00	-1.812382e-01	-3.987318e-02	1.855725e-01
1.134368e+00	-1.804810e-01	-3.704763e-02	1.842442e-01
1.139365e+00	-1.796818e-01	-3.424715e-02	1.829164e-01
1.144362e+00	-1.788412e-01	-3.147239e-02	1.815893e-01
1.149359e+00	-1.779598e-01	-2.872397e-02	1.802630e-01
1.154356e+00	-1.770381e-01	-2.600249e-02	1.789375e-01
1.159354e+00	-1.760768e-01	-2.330855e-02	1.776129e-01
1.164351e+00	-1.750765e-01	-2.064273e-02	1.762892e-01
1.169348e+00	-1.740377e-01	-1.800562e-02	1.749666e-01
1.174345e+00	-1.729611e-01	-1.539777e-02	1.736451e-01
1.179343e+00	-1.718472e-01	-1.281972e-02	1.723247e-01
1.184340e+00	-1.706968e-01	-1.027203e-02	1.710056e-01
1.189337e+00	-1.695105e-01	-7.755200e-03	1.696878e-01
1.194334e+00	-1.682889e-01	-5.269758e-03	1.683713e-01
1.199331e+00	-1.670326e-01	-2.816197e-03	1.670563e-01
1.204329e+00	-1.657424e-01	-3.950050e-04	1.657429e-01
1.209326e+00	-1.644189e-01	1.993346e-03	1.644310e-01
1.214323e+00	-1.630627e-01	4.348395e-03	1.631207e-01
1.219320e+00	-1.616747e-01	6.669695e-03	1.618122e-01
1.224317e+00	-1.602553e-01	8.956813e-03	1.605054e-01
1.229315e+00	-1.588054e-01	1.120933e-02	1.592006e-01
1.234312e+00	-1.573257e-01	1.342683e-02	1.578976e-01
1.239309e+00	-1.558168e-01	1.560893e-02	1.565967e-01
1.244306e+00	-1.542795e-01	1.775525e-02	1.552978e-01
1.249304e+00	-1.527144e-01	1.986541e-02	1.540011e-01
1.254301e+00	-1.511224e-01	2.193907e-02	1.527066e-01
