# time [s]	Wlong [V/C]	Wxdip [V/C.m]	Wydip [V/C.m]	Wxquad [V/C.m]	Wyquad [V/C.m]
3.771008809034000e-10	6.177475217662538e+12	1.992267142025242e+15	4.325997944490444e+15	-4.982894964584065e+14	7.229892202720226e+14
3.771142234672001e-10	6.172491224524922e+12	1.992426768509407e+15	4.326093902782910e+15	-4.982818802668355e+14	7.229652390589632e+14
3.771275660310000e-10	6.167506751269385e+12	1.992586465921416e+15	4.326189801398523e+15	-4.982742292937150e+14	7.229412051389554e+14
3.771409085948000e-10	6.162252327499874e+12	1.992745999066023e+15	4.326285737839130e+15	-4.982665684411139e+14	7.229171561352659e+14
3.771542511586000e-10	6.156489996470451e+12	1.992905182623066e+15	4.326381776501950e+15	-4.982589078931630e+14	7.228931074362265e+14
3.771675937225000e-10	6.150730188473026e+12	1.993064370416463e+15	4.326477819722663e+15	-4.982512476443759e+14	7.228690590362281e+14
3.771809362863000e-10	6.144967419554625e+12	1.993223562365505e+15	4.326573867415483e+15	-4.982435876893249e+14	7.228450109300888e+14
3.771942788501000e-10	6.139207759279226e+12	1.993382758392549e+15	4.326669919497303e+15	-4.982359280223839e+14	7.228209631120595e+14
3.772076214139001e-10	6.133449574919802e+12	1.993541958417591e+15	4.326765975880124e+15	-4.982282686379129e+14	7.227969155765000e+14
3.772209639777000e-10	6.127693159538406e+12	1.993701162358634e+15	4.326862036478942e+15	-4.982206095301919e+14	7.227728683176906e+14
3.772343065415000e-10	6.121938805724004e+12	1.993860370136677e+15	4.326958101204763e+15	-4.982129506934508e+14	7.227488213298611e+14
3.772476491053000e-10	6.116186806271583e+12	1.994019581664720e+15	4.327054169966584e+15	-4.982052921217599e+14	7.227247746070818e+14
3.772609916691000e-10	6.110437453562186e+12	1.994178796863763e+15	4.327150242679404e+15	-4.981976338093889e+14	7.227007281436222e+14
3.772743342329001e-10	6.104585187262628e+12	1.994337817775852e+15	4.327246365764666e+15	-4.981899757502779e+14	7.226766819334229e+14
3.772876767967000e-10	6.098535068631162e+12	1.994496466299095e+15	4.327342580981982e+15	-4.981823179384269e+14	7.226526359704835e+14
3.773010193605000e-10	6.092488471179699e+12	1.994655118236338e+15	4.327438799872297e+15	-4.981746603677359e+14	7.226285902487041e+14
3.773143619243000e-10	6.086445685152211e+12	1.994813773499581e+15	4.327535022341612e+15	-4.981670030320750e+14	7.226045447619546e+14
3.773277044881000e-10	6.080406959522187e+12	1.994972382483053e+15	4.327630990230212e+15	-4.981593753742196e+14	7.225805343445522e+14
3.773410470520000e-10	6.074372393889125e+12	1.995130714000925e+15	4.327725499111234e+15	-4.981519148187671e+14	7.225567215819245e+14
3.773543896158000e-10	6.068342505335394e+12	1.995289048579449e+15	4.327820011285376e+15	-4.981444544796292e+14	7.225329090357340e+14
3.773677321796001e-10	6.062317580310636e+12	1.995447386128974e+15	4.327914526656516e+15	-4.981369943504313e+14	7.225090966994834e+14
3.773810747434000e-10	6.056297904114905e+12	1.995605726558498e+15	4.328009045127657e+15	-4.981295344247434e+14	7.224852845667430e+14
3.773944173072000e-10	6.050286026205297e+12	1.995764061561263e+15	4.328103509461166e+15	-4.981221126240355e+14	7.224613512075819e+14
3.774077598710000e-10	6.044062641505273e+12	1.995922191197782e+15	4.328198014475009e+15	-4.981146933384144e+14	7.224374105971750e+14
3.774211024348000e-10	6.037434188303398e+12	1.996079925636808e+15	4.328292601407438e+15	-4.981072742368033e+14	7.224134701707781e+14
3.774344449986001e-10	6.030812111158498e+12	1.996237662586835e+15	4.328387191042866e+15	-4.980998553126122e+14	7.223895299218011e+14
3.774477875624000e-10	6.024196687871622e+12	1.996395401953862e+15	4.328481783279293e+15	-4.980924365592112e+14	7.223655898436144e+14
3.774611301262000e-10	6.017588194435749e+12	1.996553143642888e+15	4.328576378015721e+15	-4.980850179699201e+14	7.223416499295374e+14
3.774744726900000e-10	6.010986902489848e+12	1.996710887560915e+15	4.328670975149150e+15	-4.980775995380090e+14	7.223177101728404e+14
3.774878152538000e-10	6.004393095226973e+12	1.996868633609941e+15	4.328765574575578e+15	-4.980701812567379e+14	7.222937705667836e+14
3.775011578177000e-10	5.997807021249071e+12	1.997026381696310e+15	4.328860176194887e+15	-4.980627631192625e+14	7.222698311043985e+14
3.775145003815000e-10	5.991228967328195e+12	1.997184131721336e+15	4.328954779900314e+15	-4.980553451188614e+14	7.222458917792115e+14
3.775278429453000e-10	5.984659192920295e+12	1.997341883588363e+15	4.329049385587744e+15	-4.980479272486102e+14	7.222219525841745e+14
3.775411855091000e-10	5.977826418989587e+12	1.997499066535818e+15	4.329142582307502e+15	-4.980406308311919e+14	7.221979232003038e+14
3.775545280729000e-10	5.970477437446071e+12	1.997655477840679e+15	4.329234403664869e+15	-4.980334558605374e+14	7.221738036200279e+14
3.775678706367000e-10	5.963137516266584e+12	1.997811890693539e+15	4.329326226688236e+15	-4.980262809993029e+14	7.221496841491720e+14
3.775812132005000e-10	5.955806910747098e+12	1.997968304996399e+15	4.329418051272602e+15	-4.980191062404984e+14	7.221255647807462e+14
