# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.9200000e+03    3.2887023e+06    5.0903450e+06
2.9300000e+03    3.2849874e+06    5.0807170e+06
2.9400000e+03    3.2812726e+06    5.0710890e+06
2.9500000e+03    3.2775578e+06    5.0614610e+06
2.9600000e+03    3.2738429e+06    5.0518330e+06
2.9700000e+03    3.2701281e+06    5.0422050e+06
2.9800000e+03    3.2664132e+06    5.0325770e+06
2.9900000e+03    3.2626984e+06    5.0229490e+06
3.0000000e+03    3.2589835e+06    5.0133210e+06
3.0100000e+03    3.2552687e+06    5.0036930e+06
3.0200000e+03    3.2515538e+06    4.9940650e+06
3.0300000e+03    3.2478390e+06    4.9844370e+06
3.0400000e+03    3.2441242e+06    4.9748090e+06
3.0500000e+03    3.2404093e+06    4.9651810e+06
3.0600000e+03    3.2368959e+06    4.9559761e+06
3.0700000e+03    3.2335293e+06    4.9470794e+06
3.0800000e+03    3.2301627e+06    4.9381827e+06
3.0900000e+03    3.2267960e+06    4.9292859e+06
3.1000000e+03    3.2237142e+06    4.9209991e+06
3.1100000e+03    3.2207212e+06    4.9129025e+06
3.1200000e+03    3.2178850e+06    4.9051457e+06
3.1300000e+03    3.2152907e+06    4.8979136e+06
3.1400000e+03    3.2130007e+06    4.8913465e+06
3.1500000e+03    3.2107971e+06    4.8849684e+06
3.1600000e+03    3.2085934e+06    4.8785902e+06
3.1700000e+03    3.2063898e+06    4.8722121e+06
3.1800000e+03    3.2041861e+06    4.8658339e+06
3.1900000e+03    3.2019825e+06    4.8594557e+06
3.2000000e+03    3.1997788e+06    4.8530776e+06
3.2100000e+03    3.1975752e+06    4.8466994e+06
3.2200000e+03    3.1953716e+06    4.8403213e+06
3.2300000e+03    3.1931679e+06    4.8339431e+06
3.2400000e+03    3.1909643e+06    4.8275649e+06
3.2500000e+03    3.1887606e+06    4.8211868e+06
3.2600000e+03    3.1865570e+06    4.8148086e+06
3.2700000e+03    3.1843533e+06    4.8084305e+06
