# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.9200000e+00    1.9684654e+04    1.9460155e+04
2.9300000e+00    1.9636944e+04    1.9412150e+04
2.9400000e+00    1.9593231e+04    1.9368160e+04
2.9500000e+00    1.9559531e+04    1.9334228e+04
2.9600000e+00    1.9526008e+04    1.9300474e+04
2.9700000e+00    1.9493406e+04    1.9267647e+04
2.9800000e+00    1.9462330e+04    1.9236352e+04
2.9900000e+00    1.9431253e+04    1.9205057e+04
3.0000000e+00    1.9400177e+04    1.9173762e+04
3.0100000e+00    1.9369100e+04    1.9142468e+04
3.0200000e+00    1.9338024e+04    1.9111173e+04
3.0300000e+00    1.9306948e+04    1.9079878e+04
3.0400000e+00    1.9275871e+04    1.9048583e+04
3.0500000e+00    1.9244795e+04    1.9017289e+04
3.0600000e+00    1.9213718e+04    1.8985994e+04
3.0700000e+00    1.9182642e+04    1.8954699e+04
3.0800000e+00    1.9151566e+04    1.8923404e+04
3.0900000e+00    1.9120753e+04    1.8892374e+04
3.1000000e+00    1.9090299e+04    1.8861701e+04
3.1100000e+00    1.9059844e+04    1.8831029e+04
3.1200000e+00    1.9029390e+04    1.8800357e+04
3.1300000e+00    1.8998935e+04    1.8769684e+04
3.1400000e+00    1.8968481e+04    1.8739012e+04
3.1500000e+00    1.8938027e+04    1.8708339e+04
3.1600000e+00    1.8907977e+04    1.8678072e+04
3.1700000e+00    1.8878022e+04    1.8647899e+04
3.1800000e+00    1.8848067e+04    1.8617727e+04
3.1900000e+00    1.8818111e+04    1.8587554e+04
3.2000000e+00    1.8788431e+04    1.8557656e+04
3.2100000e+00    1.8758881e+04    1.8527889e+04
3.2200000e+00    1.8729332e+04    1.8498122e+04
3.2300000e+00    1.8700119e+04    1.8468692e+04
3.2400000e+00    1.8670966e+04    1.8439322e+04
3.2500000e+00    1.8641814e+04    1.8409953e+04
3.2600000e+00    1.8612661e+04    1.8380583e+04
3.2700000e+00    1.8583509e+04    1.8351214e+04
3.2800000e+00    1.8554357e+04    1.8321844e+04
3.2900000e+00    1.8525204e+04    1.8292475e+04
3.3000000e+00    1.8496052e+04    1.8263105e+04
3.3100000e+00    1.8466900e+04    1.8233736e+04
3.3200000e+00    1.8439634e+04    1.8206263e+04
3.3300000e+00    1.8414531e+04    1.8180964e+04
3.3400000e+00    1.8389429e+04    1.8155665e+04
3.3500000e+00    1.8364326e+04    1.8130366e+04
3.3600000e+00    1.8339223e+04    1.8105067e+04
3.3700000e+00    1.8314121e+04    1.8079768e+04
3.3800000e+00    1.8289018e+04    1.8054468e+04
3.3900000e+00    1.8263915e+04    1.8029169e+04
3.4000000e+00    1.8238813e+04    1.8003870e+04
3.4100000e+00    1.8213710e+04    1.7978571e+04
3.4200000e+00    1.8188607e+04    1.7953272e+04
3.4300000e+00    1.8163505e+04    1.7927973e+04
3.4400000e+00    1.8138402e+04    1.7902674e+04
3.4500000e+00    1.8113299e+04    1.7877375e+04
3.4600000e+00    1.8088196e+04    1.7852076e+04
3.4700000e+00    1.8063094e+04    1.7826777e+04
3.4800000e+00    1.8037991e+04    1.7801478e+04
3.4900000e+00    1.8012888e+04    1.7776178e+04
3.5000000e+00    1.7987786e+04    1.7750879e+04
3.5100000e+00    1.7962683e+04    1.7725580e+04
3.5200000e+00    1.7937580e+04    1.7700281e+04
3.5300000e+00    1.7912478e+04    1.7674982e+04
3.5400000e+00    1.7887375e+04    1.7649683e+04
3.5500000e+00    1.7862272e+04    1.7624384e+04
3.5600000e+00    1.7837170e+04    1.7599085e+04
3.5700000e+00    1.7812067e+04    1.7573786e+04
3.5800000e+00    1.7786964e+04    1.7548487e+04
3.5900000e+00    1.7761861e+04    1.7523187e+04
3.6000000e+00    1.7736759e+04    1.7497888e+04
3.6100000e+00    1.7711656e+04    1.7472589e+04
3.6200000e+00    1.7686553e+04    1.7447290e+04
3.6300000e+00    1.7661451e+04    1.7421991e+04
3.6400000e+00    1.7636348e+04    1.7396692e+04
3.6500000e+00    1.7611245e+04    1.7371393e+04
3.6600000e+00    1.7586143e+04    1.7346094e+04
3.6700000e+00    1.7561040e+04    1.7320795e+04
3.6800000e+00    1.7535937e+04    1.7295496e+04
3.6900000e+00    1.7510835e+04    1.7270197e+04
3.7000000e+00    1.7485732e+04    1.7244897e+04
3.7100000e+00    1.7463655e+04    1.7222642e+04
3.7200000e+00    1.7445158e+04    1.7203984e+04
3.7300000e+00    1.7426660e+04    1.7185327e+04
3.7400000e+00    1.7408163e+04    1.7166670e+04
3.7500000e+00    1.7389665e+04    1.7148012e+04
3.7600000e+00    1.7371168e+04    1.7129355e+04
3.7700000e+00    1.7352670e+04    1.7110698e+04
3.7800000e+00    1.7334172e+04    1.7092040e+04
3.7900000e+00    1.7315675e+04    1.7073383e+04
3.8000000e+00    1.7297177e+04    1.7054726e+04
3.8100000e+00    1.7278680e+04    1.7036069e+04
3.8200000e+00    1.7260182e+04    1.7017411e+04
3.8300000e+00    1.7241684e+04    1.6998754e+04
3.8400000e+00    1.7223187e+04    1.6980097e+04
3.8500000e+00    1.7204689e+04    1.6961439e+04
3.8600000e+00    1.7186192e+04    1.6942782e+04
3.8700000e+00    1.7167694e+04    1.6924125e+04
3.8800000e+00    1.7149196e+04    1.6905467e+04
3.8900000e+00    1.7130699e+04    1.6886810e+04
3.9000000e+00    1.7112201e+04    1.6868153e+04
3.9100000e+00    1.7093704e+04    1.6849496e+04
3.9200000e+00    1.7075206e+04    1.6830838e+04
3.9300000e+00    1.7056708e+04    1.6812181e+04
3.9400000e+00    1.7038211e+04    1.6793524e+04
3.9500000e+00    1.7019713e+04    1.6774866e+04
3.9600000e+00    1.7001216e+04    1.6756209e+04
3.9700000e+00    1.6982718e+04    1.6737552e+04
3.9800000e+00    1.6964220e+04    1.6718894e+04
3.9900000e+00    1.6945723e+04    1.6700237e+04
4.0000000e+00    1.6927225e+04    1.6681580e+04
4.0100000e+00    1.6908728e+04    1.6662923e+04
4.0200000e+00    1.6890230e+04    1.6644265e+04
4.0300000e+00    1.6871732e+04    1.6625608e+04
4.0400000e+00    1.6853235e+04    1.6606951e+04
4.0500000e+00    1.6834737e+04    1.6588293e+04
4.0600000e+00    1.6816240e+04    1.6569636e+04
4.0700000e+00    1.6797742e+04    1.6550979e+04
4.0800000e+00    1.6779245e+04    1.6532321e+04
4.0900000e+00    1.6760747e+04    1.6513664e+04
4.1000000e+00    1.6742249e+04    1.6495007e+04
4.1100000e+00    1.6723752e+04    1.6476350e+04
4.1200000e+00    1.6705254e+04    1.6457692e+04
4.1300000e+00    1.6686757e+04    1.6439035e+04
4.1400000e+00    1.6668259e+04    1.6420378e+04
4.1500000e+00    1.6649761e+04    1.6401720e+04
4.1600000e+00    1.6631264e+04    1.6383063e+04
4.1700000e+00    1.6612766e+04    1.6364406e+04
4.1800000e+00    1.6594269e+04    1.6345748e+04
4.1900000e+00    1.6575771e+04    1.6327091e+04
4.2000000e+00    1.6557273e+04    1.6308434e+04
4.2100000e+00    1.6538776e+04    1.6289777e+04
4.2200000e+00    1.6520278e+04    1.6271119e+04
4.2300000e+00    1.6501781e+04    1.6252462e+04
4.2400000e+00    1.6483283e+04    1.6233805e+04
4.2500000e+00    1.6464785e+04    1.6215147e+04
4.2600000e+00    1.6446288e+04    1.6196490e+04
4.2700000e+00    1.6427790e+04    1.6177833e+04
4.2800000e+00    1.6409293e+04    1.6159175e+04
4.2900000e+00    1.6390795e+04    1.6140518e+04
4.3000000e+00    1.6372297e+04    1.6121861e+04
4.3100000e+00    1.6353800e+04    1.6103204e+04
4.3200000e+00    1.6335302e+04    1.6084546e+04
4.3300000e+00    1.6316805e+04    1.6065889e+04
4.3400000e+00    1.6298307e+04    1.6047232e+04
4.3500000e+00    1.6279809e+04    1.6028574e+04
4.3600000e+00    1.6261312e+04    1.6009917e+04
4.3700000e+00    1.6242998e+04    1.5991444e+04
4.3800000e+00    1.6224877e+04    1.5973163e+04
4.3900000e+00    1.6206755e+04    1.5954882e+04
4.4000000e+00    1.6188634e+04    1.5936601e+04
4.4100000e+00    1.6170512e+04    1.5918320e+04
4.4200000e+00    1.6152391e+04    1.5900039e+04
4.4300000e+00    1.6134269e+04    1.5881758e+04
4.4400000e+00    1.6116148e+04    1.5863477e+04
4.4500000e+00    1.6098026e+04    1.5845196e+04
4.4600000e+00    1.6079916e+04    1.5826926e+04
4.4700000e+00    1.6062096e+04    1.5808947e+04
4.4800000e+00    1.6044276e+04    1.5790967e+04
4.4900000e+00    1.6026456e+04    1.5772988e+04
4.5000000e+00    1.6008636e+04    1.5755009e+04
4.5100000e+00    1.5990817e+04    1.5737030e+04
4.5200000e+00    1.5973027e+04    1.5719081e+04
4.5300000e+00    1.5955453e+04    1.5701348e+04
4.5400000e+00    1.5937878e+04    1.5683614e+04
4.5500000e+00    1.5920304e+04    1.5665880e+04
4.5600000e+00    1.5902748e+04    1.5648165e+04
4.5700000e+00    1.5885413e+04    1.5630671e+04
4.5800000e+00    1.5868079e+04    1.5613178e+04
4.5900000e+00    1.5850744e+04    1.5595684e+04
4.6000000e+00    1.5833409e+04    1.5578190e+04
4.6100000e+00    1.5816075e+04    1.5560696e+04
4.6200000e+00    1.5798740e+04    1.5543202e+04
4.6300000e+00    1.5781405e+04    1.5525708e+04
4.6400000e+00    1.5764070e+04    1.5508215e+04
4.6500000e+00    1.5746736e+04    1.5490721e+04
4.6600000e+00    1.5729401e+04    1.5473227e+04
4.6700000e+00    1.5712066e+04    1.5455733e+04
4.6800000e+00    1.5694732e+04    1.5438239e+04
4.6900000e+00    1.5677397e+04    1.5420746e+04
4.7000000e+00    1.5660062e+04    1.5403252e+04
4.7100000e+00    1.5642727e+04    1.5385758e+04
4.7200000e+00    1.5625393e+04    1.5368264e+04
4.7300000e+00    1.5608058e+04    1.5350770e+04
4.7400000e+00    1.5590723e+04    1.5333276e+04
4.7500000e+00    1.5573389e+04    1.5315783e+04
4.7600000e+00    1.5556054e+04    1.5298289e+04
4.7700000e+00    1.5538719e+04    1.5280795e+04
4.7800000e+00    1.5521384e+04    1.5263301e+04
4.7900000e+00    1.5504050e+04    1.5245807e+04
4.8000000e+00    1.5486715e+04    1.5228314e+04
4.8100000e+00    1.5469380e+04    1.5210820e+04
4.8200000e+00    1.5452046e+04    1.5193326e+04
4.8300000e+00    1.5434711e+04    1.5175832e+04
4.8400000e+00    1.5417376e+04    1.5158338e+04
4.8500000e+00    1.5400041e+04    1.5140845e+04
4.8600000e+00    1.5382707e+04    1.5123351e+04
4.8700000e+00    1.5365372e+04    1.5105857e+04
4.8800000e+00    1.5348037e+04    1.5088363e+04
4.8900000e+00    1.5330703e+04    1.5070869e+04
4.9000000e+00    1.5313368e+04    1.5053375e+04
4.9100000e+00    1.5296033e+04    1.5035882e+04
4.9200000e+00    1.5278698e+04    1.5018388e+04
4.9300000e+00    1.5261364e+04    1.5000894e+04
4.9400000e+00    1.5244029e+04    1.4983400e+04
4.9500000e+00    1.5226694e+04    1.4965906e+04
4.9600000e+00    1.5209360e+04    1.4948413e+04
4.9700000e+00    1.5192025e+04    1.4930919e+04
4.9800000e+00    1.5174690e+04    1.4913425e+04
4.9900000e+00    1.5157355e+04    1.4895931e+04
5.0000000e+00    1.5140021e+04    1.4878437e+04
5.0100000e+00    1.5122686e+04    1.4860944e+04
5.0200000e+00    1.5105351e+04    1.4843450e+04
5.0300000e+00    1.5088016e+04    1.4825956e+04
5.0400000e+00    1.5070682e+04    1.4808462e+04
5.0500000e+00    1.5053347e+04    1.4790968e+04
5.0600000e+00    1.5036012e+04    1.4773474e+04
5.0700000e+00    1.5018678e+04    1.4755981e+04
5.0800000e+00    1.5001343e+04    1.4738487e+04
5.0900000e+00    1.4984008e+04    1.4720993e+04
5.1000000e+00    1.4966673e+04    1.4703499e+04
5.1100000e+00    1.4949339e+04    1.4686005e+04
