        Frequency / GHz                Z Real (kOhm/m)
    286.09     -0.47779E-02
    286.56     -0.47882E-02
    287.03     -0.47992E-02
    287.50     -0.48089E-02
    287.96     -0.48176E-02
    288.43     -0.48282E-02
    288.90     -0.48401E-02
    289.37     -0.48521E-02
    289.84     -0.48655E-02
    290.31     -0.48801E-02
    290.77     -0.48942E-02
    291.24     -0.49091E-02
    291.71     -0.49245E-02
